,League,playerId,NewName,teamName,positionText,Apps,Sub on,Minutes played,Rating,Goals total,Assists total,Yellow cards,Red cards,Shots,MOTM,Pass success rate,Tackles,Interceptions,Fouls,Offsides won,Clearances,Dribbled,Blocks,Keypasses,Dribbles won,Fouls given,Offsides given,Dispossessed,Turnovers,Passes,Accurate crosses,Accurate long passes,Accurate through balls,Challenges lost,Saves (six yard box),Saves (penalty area),Saves (out of the box),Saves total,Shots (six yard box),Shots (penalty area),Shots (outside of the box),Shots total,Shots open play,Shots set piece,Shots on target,Shots off target,Shots on post,Shots blocked,Shots header,Goal (six yard box),Goal (penalty area),Goal (outside of the box),Goals,Goal open play,Goals set piece,Goals head,Dribbles lost,Dribbles total,Aerials lost,Aerias total,Aerials won,Assists,Year
0,English Premier League,73084,K. De Bruyne,Manchester City,Midfielder,26,1,2156,7.916153846,8,16,2,0,2.923076923,7,81.70068027,1.307692308,0.461538462,0.884615385,0.038461538,0.769230769,1.615384615,0.153846154,3.692307692,1.423076923,0.730769231,0.038461538,1.0,1.423076923,56.53846154,2.461538462,3.153846154,0.346153846,1.615384615,0.0,0.0,0.0,0.0,0.038461538,1.153846154,1.730769231,2.923076923,2.538461538,0.307692308,0.884615385,1.230769231,0.115384615,0.807692308,0.038461538,0.0,0.192307692,0.115384615,0.307692308,0.269230769,0.0,0.0,1.076923077,2.5,0.576923077,0.961538462,0.384615385,0.615384615,2021
1,English Premier League,140088,A. Traoré,Wolverhampton Wanderers,Forward,28,6,2073,7.6125,4,7,0,0,1.214285714,6,73.5915493,1.142857143,0.428571429,1.107142857,0.035714286,0.428571429,0.428571429,0.107142857,1.357142857,5.178571429,2.25,0.142857143,1.571428571,2.321428571,20.28571429,1.107142857,0.214285714,0.107142857,0.428571429,0.0,0.0,0.0,0.0,0.0,0.642857143,0.571428571,1.214285714,0.964285714,0.071428571,0.321428571,0.392857143,0.035714286,0.5,0.0,0.0,0.035714286,0.107142857,0.142857143,0.071428571,0.0,0.0,1.785714286,6.964285714,1.535714286,2.75,1.214285714,0.25,2021
2,English Premier League,104749,R. Mahrez,Manchester City,Forward,23,8,1386,7.585217391,7,8,0,0,2.260869565,3,89.38271605,0.956521739,0.695652174,0.391304348,0.0,0.304347826,0.956521739,0.0,2.0,1.695652174,0.956521739,0.347826087,1.086956522,1.304347826,35.2173913,0.565217391,1.608695652,0.304347826,0.956521739,0.0,0.0,0.0,0.0,0.086956522,1.347826087,0.826086957,2.260869565,1.782608696,0.347826087,1.0,0.52173913,0.043478261,0.739130435,0.043478261,0.0,0.130434783,0.173913043,0.304347826,0.217391304,0.086956522,0.0,1.217391304,2.913043478,0.739130435,1.130434783,0.391304348,0.347826087,2021
3,English Premier League,120763,R. Pereira,Leicester,Defender,28,0,2520,7.500714286,3,2,1,0,0.642857143,2,78.88040712,4.25,1.75,1.607142857,0.25,2.642857143,1.892857143,0.214285714,0.964285714,2.142857143,1.321428571,0.0,1.107142857,1.571428571,56.14285714,0.321428571,2.107142857,0.071428571,1.892857143,0.0,0.0,0.0,0.0,0.0,0.357142857,0.285714286,0.642857143,0.5,0.142857143,0.178571429,0.357142857,0.0,0.107142857,0.035714286,0.0,0.071428571,0.035714286,0.107142857,0.107142857,0.0,0.0,1.464285714,3.607142857,1.714285714,3.214285714,1.5,0.071428571,2021
4,English Premier League,109915,S. Mané,Liverpool,Forward,26,2,2085,7.5,14,7,2,0,2.307692308,7,80.98159509,1.384615385,0.423076923,1.461538462,0.038461538,0.269230769,0.730769231,0.0,1.576923077,1.884615385,1.269230769,0.384615385,1.653846154,3.076923077,31.34615385,0.192307692,0.730769231,0.115384615,0.730769231,0.0,0.0,0.0,0.0,0.346153846,1.615384615,0.346153846,2.307692308,1.653846154,0.5,1.115384615,0.961538462,0.076923077,0.230769231,0.653846154,0.153846154,0.346153846,0.038461538,0.538461538,0.423076923,0.038461538,0.076923077,1.192307692,3.076923077,2.269230769,3.461538462,1.192307692,0.269230769,2021
5,English Premier League,108226,M. Salah,Liverpool,Forward,26,0,2250,7.450769231,16,6,1,0,3.769230769,5,76.11336032,0.5,0.269230769,0.538461538,0.038461538,0.076923077,0.576923077,0.038461538,1.807692308,1.692307692,0.576923077,0.653846154,2.115384615,2.846153846,28.5,0.307692308,0.269230769,0.076923077,0.576923077,0.0,0.0,0.0,0.0,0.307692308,2.807692308,0.653846154,3.769230769,2.807692308,0.576923077,1.653846154,1.0,0.038461538,1.115384615,0.230769231,0.076923077,0.538461538,0.0,0.615384615,0.384615385,0.0,0.038461538,1.076923077,2.769230769,1.5,2.0,0.5,0.230769231,2021
6,English Premier League,95408,V. van Dijk,Liverpool,Defender,29,0,2610,7.396551724,4,1,1,0,0.793103448,4,89.18482647,0.75862069,1.034482759,0.344827586,1.034482759,4.655172414,0.206896552,0.379310345,0.172413793,0.068965517,0.724137931,0.034482759,0.068965517,0.068965517,85.44827586,0.0,5.344827586,0.103448276,0.206896552,0.0,0.0,0.0,0.0,0.103448276,0.586206897,0.103448276,0.793103448,0.103448276,0.689655172,0.379310345,0.275862069,0.034482759,0.137931034,0.551724138,0.0,0.137931034,0.0,0.137931034,0.0,0.137931034,0.137931034,0.034482759,0.103448276,1.620689655,6.551724138,4.931034483,0.034482759,2021
7,English Premier League,327683,W. Ndidi,Leicester,Midfielder,23,3,1892,7.36173913,2,1,3,0,0.782608696,3,84.07310705,3.956521739,2.652173913,1.47826087,0.0,2.0,1.47826087,0.260869565,0.52173913,0.652173913,0.695652174,0.043478261,0.869565217,0.652173913,49.95652174,0.0,2.652173913,0.0,1.47826087,0.0,0.0,0.0,0.0,0.086956522,0.434782609,0.260869565,0.782608696,0.391304348,0.391304348,0.130434783,0.47826087,0.043478261,0.173913043,0.304347826,0.0,0.086956522,0.0,0.086956522,0.0,0.086956522,0.043478261,0.260869565,0.913043478,2.130434783,4.695652174,2.565217391,0.043478261,2021
8,English Premier League,137015,J. Maddison,Leicester,Midfielder,28,1,2404,7.343571429,6,3,4,0,2.214285714,4,83.04446119,1.892857143,0.321428571,1.178571429,0.0,0.178571429,1.5,0.0,2.678571429,1.642857143,2.892857143,0.142857143,1.0,1.857142857,47.39285714,2.0,2.428571429,0.178571429,1.5,0.0,0.0,0.0,0.0,0.035714286,0.821428571,1.357142857,2.214285714,1.607142857,0.5,0.607142857,0.75,0.035714286,0.857142857,0.071428571,0.0,0.071428571,0.142857143,0.214285714,0.178571429,0.035714286,0.0,1.0,2.642857143,0.821428571,1.071428571,0.25,0.107142857,2021
9,English Premier League,300299,M. Rashford,Manchester United,Forward,22,0,1882,7.339090909,14,4,2,0,3.363636364,6,76.35726795,0.545454545,0.272727273,0.636363636,0.0,0.5,0.5,0.0,1.090909091,2.0,1.318181818,0.363636364,1.318181818,2.0,25.95454545,0.227272727,0.818181818,0.136363636,0.5,0.0,0.0,0.0,0.0,0.272727273,1.636363636,1.454545455,3.363636364,1.681818182,0.772727273,1.545454545,1.136363636,0.227272727,0.681818182,0.227272727,0.090909091,0.5,0.045454545,0.636363636,0.272727273,0.0,0.045454545,2.045454545,4.045454545,1.772727273,2.409090909,0.636363636,0.181818182,2021
