,index,NewName_x,playerId,positionText_x,teamName_x,League_x
0,1,A. Traoré,140088,Forward,Wolverhampton Wanderers,English Premier League
1,1,A. Traoré,140088,Forward,Wolverhampton Wanderers,English Premier League
2,1,A. Traoré,140088,Forward,Wolverhampton Wanderers,English Premier League
3,1,A. Traoré,140088,Forward,Wolverhampton Wanderers,English Premier League
4,2,R. Mahrez,104749,Forward,Manchester City,English Premier League
5,4,S. Mané,109915,Forward,Liverpool,English Premier League
6,5,M. Salah,108226,Forward,Liverpool,English Premier League
7,9,M. Rashford,300299,Forward,Manchester United,English Premier League
8,11,Richarlison,317804,Forward,Everton,English Premier League
9,12,H. Kane,83532,Forward,Tottenham,English Premier League
10,14,R. Jiménez,108186,Forward,Wolverhampton Wanderers,English Premier League
11,15,S. Heung-Min,91909,Forward,Tottenham,English Premier League
12,16,R. Firmino,96182,Forward,Liverpool,English Premier League
13,18,J. Vardy,106981,Forward,Leicester,English Premier League
14,19,Willian,29463,Forward,Chelsea,English Premier League
15,21,S. Haller,236544,Forward,West Ham,English Premier League
16,24,S. Agüero,14260,Forward,Manchester City,English Premier League
17,25,R. Sterling,97692,Forward,Manchester City,English Premier League
18,26,N. Pépé,239872,Forward,Arsenal,English Premier League
19,27,G. Jesus,279379,Forward,Manchester City,English Premier League
20,30,A. Martial,122366,Forward,Manchester United,English Premier League
21,32,T. Deeney,25832,Forward,Watford,English Premier League
22,36,T. Abraham,317506,Forward,Chelsea,English Premier League
23,36,T. Abraham,317506,Forward,Chelsea,English Premier League
24,36,T. Abraham,317506,Forward,Chelsea,English Premier League
25,36,T. Abraham,317506,Forward,Chelsea,English Premier League
26,48,W. Zaha,85059,Forward,Crystal Palace,English Premier League
27,50,J. Ayew,67491,Forward,Crystal Palace,English Premier League
28,67,A. Lacazette,73078,Forward,Arsenal,English Premier League
29,72,D. Calvert-Lewin,141469,Forward,Everton,English Premier League
30,81,D. Jota,235755,Forward,Wolverhampton Wanderers,English Premier League
31,93,A. Pérez,135366,Forward,Leicester,English Premier League
32,100,J. King,81026,Forward,Bournemouth,English Premier League
33,106,I. Sarr,322670,Forward,Watford,English Premier League
34,112,D. McGoldrick,18501,Forward,Sheffield United,English Premier League
35,143,S. Long,13798,Forward,Southampton,English Premier League
36,148,C. Wood,73380,Forward,Burnley,English Premier League
37,176,A. Barnes,33386,Forward,Burnley,English Premier League
38,177,N. Maupay,119822,Forward,Brighton,English Premier League
39,220,L. Mousset,296332,Forward,Sheffield United,English Premier League
40,227,C. Wilson,134115,Forward,Bournemouth,English Premier League
41,239,J. Rodriguez,33891,Forward,Burnley,English Premier League
42,239,J. Rodriguez,33891,Forward,Burnley,English Premier League
43,239,J. Rodriguez,33891,Forward,Burnley,English Premier League
44,239,J. Rodriguez,33891,Forward,Burnley,English Premier League
45,254,B. Sharp,13399,Forward,Sheffield United,English Premier League
46,263,C. Robinson,138768,Forward,Sheffield United,English Premier League
47,264,G. Murray,21427,Forward,Brighton,English Premier League
48,265,C. Adams,256419,Forward,Southampton,English Premier League
49,266,A. Gray,131487,Forward,Watford,English Premier League
50,840,L. Messi,11119,Forward,Barcelona,Spain Primera Division
51,841,L. Suárez,22221,Forward,Barcelona,Spain Primera Division
52,843,N. Fekir,134893,Forward,Real Betis,Spain Primera Division
53,844,K. Benzema,14296,Forward,Real Madrid,Spain Primera Division
54,846,G. Moreno,97659,Forward,Villarreal,Spain Primera Division
55,861,A. Griezmann,80241,Forward,Barcelona,Spain Primera Division
56,862,M. Oyarzabal,298839,Forward,Real Sociedad,Spain Primera Division
57,872,I. Aspas,91242,Forward,Celta Vigo,Spain Primera Division
58,880,L. de Jong,68585,Forward,Sevilla,Spain Primera Division
59,902,M. Gómez,344119,Forward,Valencia,Spain Primera Division
60,913,G. Bale,13812,Forward,Real Madrid,Spain Primera Division
61,915,J. Calleri,133445,Forward,Espanyol,Spain Primera Division
62,917,Á. Correa,127604,Forward,Atletico Madrid,Spain Primera Division
63,919,Portu,106895,Forward,Real Sociedad,Spain Primera Division
64,927,Y. En-Nesyri,323547,Forward,Leganes,Spain Primera Division
65,937,R. Moreno,83459,Forward,Valencia,Spain Primera Division
66,943,I. Williams,255182,Forward,Athletic Bilbao,Spain Primera Division
67,955,E. Ünal,134695,Forward,Real Valladolid,Spain Primera Division
68,968,K. Toko Ekambi,236504,Forward,Villarreal,Spain Primera Division
69,1002,Á. Rodríguez,22325,Forward,Getafe,Spain Primera Division
70,1020,J. Molina,31151,Forward,Getafe,Spain Primera Division
71,1045,R. Soldado,18275,Forward,Granada,Spain Primera Division
72,1051,S. Mina,125838,Forward,Celta Vigo,Spain Primera Division
73,1057,W. José,77636,Forward,Real Sociedad,Spain Primera Division
74,1064,K. García,79840,Forward,Eibar,Spain Primera Division
75,1070,S. Enrich,83358,Forward,Eibar,Spain Primera Division
76,1079,P. Sisto,282855,Forward,Celta Vigo,Spain Primera Division
77,1081,K. Gameiro,19453,Forward,Valencia,Spain Primera Division
78,1107,L. Jovic,315755,Forward,Real Madrid,Spain Primera Division
79,1111,Charles,102157,Forward,Eibar,Spain Primera Division
80,1125,A. Aduriz,9294,Forward,Athletic Bilbao,Spain Primera Division
81,1126,C. Tello,91800,Forward,Real Betis,Spain Primera Division
82,1721,C. Ronaldo,5583,Forward,Juventus,Italian Serie A
83,1722,C. Immobile,70141,Forward,Lazio,Italian Serie A
