,index,NewName_x,playerId,positionText_x,teamName_x,League_x
0,3,R. Pereira,120763,Defender,Leicester,English Premier League
1,13,T. Alexander-Arnold,318871,Defender,Liverpool,English Premier League
2,34,A. Robertson,115726,Defender,Liverpool,English Premier League
3,37,H. Maguire,99487,Defender,Manchester United,English Premier League
4,38,J. Tarkowski,131464,Defender,Burnley,English Premier League
5,39,C. Azpilicueta,25931,Defender,Chelsea,English Premier League
6,52,D. Sidibé,10454,Defender,Everton,English Premier League
7,54,C. Basham,35607,Defender,Sheffield United,English Premier League
8,59,B. Chilwell,299272,Defender,Leicester,English Premier League
9,60,M. Doherty,94042,Defender,Wolverhampton Wanderers,English Premier League
10,63,E. Stevens,42266,Defender,Sheffield United,English Premier League
11,64,J. Evans,22079,Defender,Leicester,English Premier League
12,71,J. O'Connell,134473,Defender,Sheffield United,English Premier League
13,77,K. Zouma,106086,Defender,Chelsea,English Premier League
14,78,L. Dunk,86441,Defender,Brighton,English Premier League
15,83,J. Egan,108632,Defender,Sheffield United,English Premier League
16,86,F. Guilbert,260493,Defender,Aston Villa,English Premier League
17,88,B. Mee,94935,Defender,Burnley,English Premier League
18,95,C. Kabasele,68393,Defender,Watford,English Premier League
19,96,J. Vertonghen,21778,Defender,Tottenham,English Premier League
20,98,F. Schär,82726,Defender,Newcastle United,English Premier League
21,99,J. Willems,94885,Defender,Newcastle United,English Premier League
22,102,Jonny,115917,Defender,Wolverhampton Wanderers,English Premier League
23,108,A. Webster,109922,Defender,Brighton,English Premier League
24,110,N. Aké,122945,Defender,Bournemouth,English Premier League
25,111,J. Tomkins,33930,Defender,Crystal Palace,English Premier League
26,115,Sokratis,22210,Defender,Arsenal,English Premier League
27,118,G. Baldock,134244,Defender,Sheffield United,English Premier League
28,119,K. Walker,69778,Defender,Manchester City,English Premier League
29,125,S. Cook,68662,Defender,Bournemouth,English Premier League
30,126,P. van Aanholt,78221,Defender,Crystal Palace,English Premier League
31,150,D. Sánchez,322655,Defender,Tottenham,English Premier League
32,159,J. Lascelles,105171,Defender,Newcastle United,English Premier League
33,164,I. Diop,300359,Defender,West Ham,English Premier League
34,167,M. Keane,107941,Defender,Everton,English Premier League
35,169,A. Ogbonna,23547,Defender,West Ham,English Premier League
36,189,P. Dummett,112009,Defender,Newcastle United,English Premier League
37,197,A. Cresswell,68049,Defender,West Ham,English Premier League
38,198,M. Montoya,91387,Defender,Brighton,English Premier League
39,201,A. Smith,69877,Defender,Bournemouth,English Premier League
40,203,C. Dawson,73063,Defender,Watford,English Premier League
41,203,C. Dawson,73063,Defender,Watford,English Premier League
42,203,C. Dawson,73063,Defender,Watford,English Premier League
43,203,C. Dawson,73063,Defender,Watford,English Premier League
44,206,J. Stephens,92550,Defender,Southampton,English Premier League
45,214,J. Lewis,350138,Defender,Norwich,English Premier League
46,215,K. Femenía,75919,Defender,Watford,English Premier League
47,222,R. Bertrand,22846,Defender,Southampton,English Premier League
48,233,S. Kolasinac,110260,Defender,Arsenal,English Premier League
49,234,C. Coady,97710,Defender,Wolverhampton Wanderers,English Premier League
50,849,D. Carvajal,106883,Defender,Real Madrid,Spain Primera Division
51,863,Yuri,56057,Defender,Athletic Bilbao,Spain Primera Division
52,867,R. Varane,93206,Defender,Real Madrid,Spain Primera Division
53,868,K. Trippier,83078,Defender,Atletico Madrid,Spain Primera Division
54,873,F. Mendy,296337,Defender,Real Madrid,Spain Primera Division
55,874,Felipe,102173,Defender,Atletico Madrid,Spain Primera Division
56,885,G. Piqué,12712,Defender,Barcelona,Spain Primera Division
57,887,S. Ramos,9909,Defender,Real Madrid,Spain Primera Division
58,893,D. Suárez,83705,Defender,Getafe,Spain Primera Division
59,895,A. Capa,130377,Defender,Athletic Bilbao,Spain Primera Division
60,898,Cote,70216,Defender,Eibar,Spain Primera Division
61,901,D. Carlos,134984,Defender,Sevilla,Spain Primera Division
62,907,C. Lenglet,236511,Defender,Barcelona,Spain Primera Division
63,910,J. Zaldua,135911,Defender,Real Sociedad,Spain Primera Division
64,924,J. Navas,9446,Defender,Sevilla,Spain Primera Division
65,933,N. Semedo,296363,Defender,Barcelona,Spain Primera Division
66,935,S. Roberto,90782,Defender,Barcelona,Spain Primera Division
67,942,N. Monreal,23072,Defender,Real Sociedad,Spain Primera Division
68,953,G. Paulista,76810,Defender,Valencia,Spain Primera Division
69,960,J. Alba,44288,Defender,Barcelona,Spain Primera Division
70,963,J. Costa,69965,Defender,Valencia,Spain Primera Division
71,967,X. Navarro,100881,Defender,Deportivo Alaves,Spain Primera Division
72,975,R. Albiol,12575,Defender,Villarreal,Spain Primera Division
73,977,H. Mallo,79929,Defender,Celta Vigo,Spain Primera Division
74,981,P. Oliveira,83475,Defender,Eibar,Spain Primera Division
75,983,R. Rosales,40346,Defender,Leganes,Spain Primera Division
76,989,M. Gaspar,79909,Defender,Villarreal,Spain Primera Division
77,990,J. Gayà,119817,Defender,Valencia,Spain Primera Division
78,995,D. Siovas,79755,Defender,Leganes,Spain Primera Division
79,997,S. Postigo,109896,Defender,Levante,Spain Primera Division
80,999,A. Mandi,90115,Defender,Real Betis,Spain Primera Division
81,1001,M. Hermoso,344156,Defender,Atletico Madrid,Spain Primera Division
82,1004,D. Dakonam,332990,Defender,Getafe,Spain Primera Division
83,1008,K. Omeruo,104432,Defender,Leganes,Spain Primera Division
84,1012,U. Bustinza,248088,Defender,Leganes,Spain Primera Division
85,1024,A. Arbilla,91438,Defender,Eibar,Spain Primera Division
86,1025,E. Garay,14079,Defender,Valencia,Spain Primera Division
87,1029,B. Espinosa,67327,Defender,Espanyol,Spain Primera Division
88,1031,C. Awaziem,290842,Defender,Leganes,Spain Primera Division
89,1034,R. Duarte,261286,Defender,Deportivo Alaves,Spain Primera Division
90,1037,D. Llorente,123232,Defender,Real Sociedad,Spain Primera Division
91,1075,A. Nyom,91434,Defender,Getafe,Spain Primera Division
92,1076,D. López,92691,Defender,Espanyol,Spain Primera Division
93,1097,M. Aguirregabiria,333111,Defender,Deportivo Alaves,Spain Primera Division
94,1734,R. Gosens,141726,Defender,Atalanta,Italian Serie A
95,1743,A. Kolarov,12267,Defender,Roma,Italian Serie A
96,1745,F. Acerbi,54968,Defender,Lazio,Italian Serie A
97,1748,C. Smalling,71345,Defender,Roma,Italian Serie A
98,1763,A. Sandro,100995,Defender,Juventus,Italian Serie A
99,1764,J. Luis Palomino,125810,Defender,Atalanta,Italian Serie A
100,1768,S. de Vrij,82399,Defender,Inter,Italian Serie A
101,1772,B. Djimsiti,100962,Defender,Atalanta,Italian Serie A
102,1781,C. Ansaldi,23001,Defender,Torino,Italian Serie A
103,1782,D. Godín,26059,Defender,Inter,Italian Serie A
104,1787,O. Aina,315543,Defender,Torino,Italian Serie A
105,1796,S. Radu,21234,Defender,Lazio,Italian Serie A
106,1799,A. Romagnoli,118158,Defender,AC Milan,Italian Serie A
107,1817,R. Tolói,64075,Defender,Atalanta,Italian Serie A
108,1821,L. Bonucci,20664,Defender,Juventus,Italian Serie A
109,1835,T. Castagne,141169,Defender,Atalanta,Italian Serie A
110,1836,D. Biraschi,123767,Defender,Genoa,Italian Serie A
111,1841,M. Rui,106931,Defender,Napoli,Italian Serie A
112,1848,C. Biraghi,93935,Defender,Inter,Italian Serie A
113,1849,K. Koulibaly,90880,Defender,Napoli,Italian Serie A
114,1859,B. Nuytinck,77422,Defender,Udinese,Italian Serie A
115,1865,G. Pezzella,121456,Defender,Fiorentina,Italian Serie A
