,index,NewName_x,playerId,positionText_x,teamName_x,League_x
0,89,B. Leno,92173,Goalkeeper,Arsenal,English Premier League
1,113,V. Guaita,33866,Goalkeeper,Crystal Palace,English Premier League
2,117,K. Schmeichel,19545,Goalkeeper,Leicester,English Premier League
3,144,Alisson,114147,Goalkeeper,Liverpool,English Premier League
4,160,M. Ryan,81523,Goalkeeper,Brighton,English Premier League
5,190,L. Fabianski,20973,Goalkeeper,West Ham,English Premier League
6,194,R. Patrício,23089,Goalkeeper,Wolverhampton Wanderers,English Premier League
7,217,B. Foster,11530,Goalkeeper,Watford,English Premier League
8,231,Ederson,121774,Goalkeeper,Manchester City,English Premier League
9,235,D. de Gea,79554,Goalkeeper,Manchester United,English Premier League
10,247,K. Arrizabalaga,113880,Goalkeeper,Chelsea,English Premier League
11,252,J. Pickford,110189,Goalkeeper,Everton,English Premier League
12,928,T. Courtois,73798,Goalkeeper,Real Madrid,Spain Primera Division
13,941,S. Asenjo,32258,Goalkeeper,Villarreal,Spain Primera Division
14,1003,R. Blanco,120335,Goalkeeper,Celta Vigo,Spain Primera Division
15,1014,F. Pacheco,95915,Goalkeeper,Deportivo Alaves,Spain Primera Division
16,1016,M. ter Stegen,80774,Goalkeeper,Barcelona,Spain Primera Division
17,1056,J. Oblak,76662,Goalkeeper,Atletico Madrid,Spain Primera Division
18,1083,I. Cuéllar,11188,Goalkeeper,Leganes,Spain Primera Division
19,1091,M. Dmitrovic,259393,Goalkeeper,Eibar,Spain Primera Division
20,1774,A. Consigli,42879,Goalkeeper,Sassuolo,Italian Serie A
21,1778,T. Strakosha,121480,Goalkeeper,Lazio,Italian Serie A
22,1784,S. Sirigu,22627,Goalkeeper,Torino,Italian Serie A
23,1814,E. Berisha,44304,Goalkeeper,SPAL 2013,Italian Serie A
24,1820,S. Handanovic,9972,Goalkeeper,Inter,Italian Serie A
25,1823,G. Donnarumma,262515,Goalkeeper,AC Milan,Italian Serie A
26,1830,J. Musso,126278,Goalkeeper,Udinese,Italian Serie A
27,1885,P. López,145427,Goalkeeper,Roma,Italian Serie A
28,2666,Y. Sommer,35758,Goalkeeper,Borussia M.Gladbach,German 1 Bundesliga
29,2702,A. Schwolow,97743,Goalkeeper,Freiburg,German 1 Bundesliga
30,2703,L. Hrádecky,64846,Goalkeeper,Bayer Leverkusen,German 1 Bundesliga
31,2736,R. Jarstein,5423,Goalkeeper,Hertha Berlin,German 1 Bundesliga
32,2755,O. Baumann,77440,Goalkeeper,Hoffenheim,German 1 Bundesliga
33,2762,P. Gulácsi,67369,Goalkeeper,RasenBallsport Leipzig,German 1 Bundesliga
34,2773,K. Casteels,73797,Goalkeeper,Wolfsburg,German 1 Bundesliga
35,2789,T. Horn,90967,Goalkeeper,FC Koln,German 1 Bundesliga
36,2814,J. Pavlenka,247458,Goalkeeper,Werder Bremen,German 1 Bundesliga
37,2829,R. Bürki,63936,Goalkeeper,Borussia Dortmund,German 1 Bundesliga
38,2835,T. Koubek,283271,Goalkeeper,Augsburg,German 1 Bundesliga
39,3424,G. Rulli,125375,Goalkeeper,Montpellier,French Ligue 1
40,3458,W. Benítez,130304,Goalkeeper,Nice,French Ligue 1
41,3468,A. Gomis,97213,Goalkeeper,Dijon,French Ligue 1
42,3540,A. Lopes,71833,Goalkeeper,Lyon,French Ligue 1
43,3557,B. Lecomte,89928,Goalkeeper,Monaco,French Ligue 1
44,3562,S. Mandanda,29545,Goalkeeper,Marseille,French Ligue 1
45,3564,B. Costil,29586,Goalkeeper,Bordeaux,French Ligue 1
46,3572,A. Lafont,300590,Goalkeeper,Nantes,French Ligue 1
47,3591,M. Maignan,141646,Goalkeeper,Lille,French Ligue 1
48,3628,R. Gurtner,32167,Goalkeeper,Amiens,French Ligue 1
49,3650,B. Reynet,105028,Goalkeeper,Toulouse,French Ligue 1
50,3668,S. Ruffier,25608,Goalkeeper,Saint-Etienne,French Ligue 1
51,3670,L. Butelle,6740,Goalkeeper,Angers,French Ligue 1
52,4417,R. Ribeiro,78875,Goalkeeper,Sporting CP,Portuguese Liga ZON SAGRES
53,4427,C. Ramos,322683,Goalkeeper,Tondela,Portuguese Liga ZON SAGRES
54,4460,Douglas,39315,Goalkeeper,Vitoria de Guimaraes,Portuguese Liga ZON SAGRES
55,4535,R. Ferreira,59362,Goalkeeper,Portimonense,Portuguese Liga ZON SAGRES
56,5262,D. Bentley,134543,Goalkeeper,Bristol City,English League Championship
57,5301,B. Bialkowski,13813,Goalkeeper,Millwall,English League Championship
58,5349,S. Johnstone,105603,Goalkeeper,West Bromwich Albion,English League Championship
59,5349,S. Johnstone,105603,Goalkeeper,West Bromwich Albion,English League Championship
60,5349,S. Johnstone,105603,Goalkeeper,West Bromwich Albion,English League Championship
61,5349,S. Johnstone,105603,Goalkeeper,West Bromwich Albion,English League Championship
62,5349,S. Johnstone,105603,Goalkeeper,West Bromwich Albion,English League Championship
63,5349,S. Johnstone,105603,Goalkeeper,West Bromwich Albion,English League Championship
64,5349,S. Johnstone,105603,Goalkeeper,West Bromwich Albion,English League Championship
65,5349,S. Johnstone,105603,Goalkeeper,West Bromwich Albion,English League Championship
66,5349,S. Johnstone,105603,Goalkeeper,West Bromwich Albion,English League Championship
67,5349,S. Johnstone,105603,Goalkeeper,West Bromwich Albion,English League Championship
68,5349,S. Johnstone,105603,Goalkeeper,West Bromwich Albion,English League Championship
69,5349,S. Johnstone,105603,Goalkeeper,West Bromwich Albion,English League Championship
70,5349,S. Johnstone,105603,Goalkeeper,West Bromwich Albion,English League Championship
71,5349,S. Johnstone,105603,Goalkeeper,West Bromwich Albion,English League Championship
72,5349,S. Johnstone,105603,Goalkeeper,West Bromwich Albion,English League Championship
73,5349,S. Johnstone,105603,Goalkeeper,West Bromwich Albion,English League Championship
74,5441,J. Butland,107395,Goalkeeper,Stoke,English League Championship
75,7187,M. Bizot,83824,Goalkeeper,AZ Alkmaar,Holland Eredivisie
76,7188,L. Unnerstall,90235,Goalkeeper,PSV Eindhoven,Holland Eredivisie
77,7240,A. Onana,260843,Goalkeeper,Ajax,Holland Eredivisie
78,7280,S. Padt,68854,Goalkeeper,FC Groningen,Holland Eredivisie
79,7280,S. Padt,68854,Goalkeeper,FC Groningen,Holland Eredivisie
80,7280,S. Padt,68854,Goalkeeper,FC Groningen,Holland Eredivisie
81,7280,S. Padt,68854,Goalkeeper,FC Groningen,Holland Eredivisie
82,8170,F. Muslera,30966,Goalkeeper,Galatasaray,Turkish S�per Lig
83,8251,S. Lung Jr.,73291,Goalkeeper,Kayserispor,Turkish S�per Lig
84,8300,S. Kirintili,32433,Goalkeeper,Konyaspor,Turkish S�per Lig
85,8308,Beto,33966,Goalkeeper,Goztepe,Turkish S�per Lig
86,8317,L. Karius,107176,Goalkeeper,Besiktas,Turkish S�per Lig
87,9648,E. Andrada,125635,Goalkeeper,Boca Juniors,Argentina
88,9759,L. Chaves,315153,Goalkeeper,Argentinos Juniors,Argentina
89,9767,M. Arboleda,303865,Goalkeeper,Banfield,Argentina
90,9774,L. Unsain,303797,Goalkeeper,Defensa y Justicia,Argentina
91,9794,G. Herrera,125808,Goalkeeper,Talleres,Argentina
92,9815,N. Navarro,135530,Goalkeeper,San Lorenzo,Argentina
93,9819,J. Ledesma,136130,Goalkeeper,Rosario Central,Argentina
94,9828,F. Armani,351717,Goalkeeper,River Plate,Argentina
95,9866,M. Andújar,18208,Goalkeeper,Estudiantes,Argentina
96,9881,A. Aguerre,126256,Goalkeeper,Newell's Old Boys,Argentina
97,9903,M. Campaña,303891,Goalkeeper,Independiente,Argentina
98,9905,A. Martín Arias,299574,Goalkeeper,Gimnasia LP,Argentina
99,9918,G. Arias,303873,Goalkeeper,Racing Club,Argentina
100,9920,L. Pocrnjic,125439,Goalkeeper,Aldosivi,Argentina
101,9938,L. Burián,344726,Goalkeeper,Colon,Argentina
102,10962,S. Ortega Moreno,133569,Goalkeeper,Arminia Bielefeld,German 2 Bundesliga
103,10984,M. Riemann,128289,Goalkeeper,Bochum,German 2 Bundesliga
