,index,NewName_x,playerId,positionText_x,teamName_x,League_x
0,7,W. Ndidi,327683,Midfielder,Leicester,English Premier League
1,8,J. Maddison,137015,Midfielder,Leicester,English Premier League
2,10,J. Grealish,113069,Midfielder,Aston Villa,English Premier League
3,23,J. Henderson,68659,Midfielder,Liverpool,English Premier League
4,29,A. Saint-Maximin,135891,Midfielder,Newcastle United,English Premier League
5,31,D. Silva,14102,Midfielder,Manchester City,English Premier League
6,33,Rodrigo,303139,Midfielder,Manchester City,English Premier League
7,42,J. Moutinho,16161,Midfielder,Wolverhampton Wanderers,English Premier League
8,44,J. Ward-Prowse,105172,Midfielder,Southampton,English Premier League
9,46,C. Pulisic,302692,Midfielder,Chelsea,English Premier League
10,47,F. Anderson,93026,Midfielder,West Ham,English Premier League
11,49,B. Silva,136741,Midfielder,Manchester City,English Premier League
12,51,M. Mount,343346,Midfielder,Chelsea,English Premier League
13,57,J. Fleck,30448,Midfielder,Sheffield United,English Premier League
14,58,M. Kovacic,93894,Midfielder,Chelsea,English Premier League
15,61,E. Capoue,33590,Midfielder,Watford,English Premier League
16,62,D. Alli,131519,Midfielder,Tottenham,English Premier League
17,66,O. Norwood,90324,Midfielder,Sheffield United,English Premier League
18,66,O. Norwood,90324,Midfielder,Sheffield United,English Premier League
19,66,O. Norwood,90324,Midfielder,Sheffield United,English Premier League
20,66,O. Norwood,90324,Midfielder,Sheffield United,English Premier League
21,69,D. Rice,332325,Midfielder,West Ham,English Premier League
22,73,Jorginho,106968,Midfielder,Chelsea,English Premier League
23,74,J. McArthur,20339,Midfielder,Crystal Palace,English Premier League
24,76,Fernandinho,19119,Midfielder,Manchester City,English Premier League
25,82,N. Kanté,114075,Midfielder,Chelsea,English Premier League
26,87,H. Barnes,331382,Midfielder,Leicester,English Premier League
27,91,Y. Tielemans,136345,Midfielder,Leicester,English Premier League
28,92,G. Wijnaldum,33568,Midfielder,Liverpool,English Premier League
29,104,D. Pröpper,77429,Midfielder,Brighton,English Premier League
30,105,Fabinho,115916,Midfielder,Liverpool,English Premier League
31,114,P. Højbjerg,101859,Midfielder,Southampton,English Premier League
32,116,A. Westwood,79050,Midfielder,Burnley,English Premier League
33,122,G. Xhaka,89401,Midfielder,Arsenal,English Premier League
34,123,R. Snodgrass,9767,Midfielder,West Ham,English Premier League
35,123,R. Snodgrass,9767,Midfielder,West Ham,English Premier League
36,123,R. Snodgrass,9767,Midfielder,West Ham,English Premier League
37,123,R. Snodgrass,9767,Midfielder,West Ham,English Premier League
38,127,A. Doucouré,116317,Midfielder,Watford,English Premier League
39,128,I. Hayden,136356,Midfielder,Newcastle United,English Premier League
40,130,N. Redmond,86425,Midfielder,Southampton,English Premier League
41,137,A. Mooy,318153,Midfielder,Brighton,English Premier League
42,138,R. Neves,238244,Midfielder,Wolverhampton Wanderers,English Premier League
43,139,T. Ndombele,321389,Midfielder,Tottenham,English Premier League
44,142,P. Groß,71824,Midfielder,Brighton,English Premier League
45,147,L. Milivojevic,70493,Midfielder,Crystal Palace,English Premier League
46,156,C. Kouyaté,66741,Midfielder,Crystal Palace,English Premier League
47,162,M. Özil,13756,Midfielder,Arsenal,English Premier League
48,165,J. Lerma,133464,Midfielder,Bournemouth,English Premier League
49,168,D. Stephens,24238,Midfielder,Brighton,English Premier League
50,173,M. Sissoko,29595,Midfielder,Tottenham,English Premier League
51,175,G. Sigurdsson,69346,Midfielder,Everton,English Premier League
52,180,A. El Ghazi,232261,Midfielder,Aston Villa,English Premier League
53,180,A. El Ghazi,232261,Midfielder,Aston Villa,English Premier League
54,180,A. El Ghazi,232261,Midfielder,Aston Villa,English Premier League
55,180,A. El Ghazi,232261,Midfielder,Aston Villa,English Premier League
56,192,I. Gündogan,77464,Midfielder,Manchester City,English Premier League
57,193,J. Cork,22847,Midfielder,Burnley,English Premier League
58,196,M. Noble,8247,Midfielder,West Ham,English Premier League
59,199,L. Torreira,248109,Midfielder,Arsenal,English Premier League
60,204,A. Tettey,9342,Midfielder,Norwich,English Premier League
61,211,Trézéguet,313545,Midfielder,Aston Villa,English Premier League
62,212,R. Fraser,93160,Midfielder,Bournemouth,English Premier League
63,213,J. Milner,4511,Midfielder,Liverpool,English Premier League
64,218,S. Boufal,234363,Midfielder,Southampton,English Premier League
65,219,C. Hourihane,134172,Midfielder,Aston Villa,English Premier League
66,219,C. Hourihane,134172,Midfielder,Aston Villa,English Premier League
67,219,C. Hourihane,134172,Midfielder,Aston Villa,English Premier League
68,219,C. Hourihane,134172,Midfielder,Aston Villa,English Premier League
69,219,C. Hourihane,134172,Midfielder,Aston Villa,English Premier League
70,219,C. Hourihane,134172,Midfielder,Aston Villa,English Premier League
71,219,C. Hourihane,134172,Midfielder,Aston Villa,English Premier League
72,219,C. Hourihane,134172,Midfielder,Aston Villa,English Premier League
73,219,C. Hourihane,134172,Midfielder,Aston Villa,English Premier League
74,219,C. Hourihane,134172,Midfielder,Aston Villa,English Premier League
75,219,C. Hourihane,134172,Midfielder,Aston Villa,English Premier League
76,219,C. Hourihane,134172,Midfielder,Aston Villa,English Premier League
77,219,C. Hourihane,134172,Midfielder,Aston Villa,English Premier League
78,219,C. Hourihane,134172,Midfielder,Aston Villa,English Premier League
79,219,C. Hourihane,134172,Midfielder,Aston Villa,English Premier League
80,219,C. Hourihane,134172,Midfielder,Aston Villa,English Premier League
81,221,J. Hendrick,86454,Midfielder,Burnley,English Premier League
82,223,A. Iwobi,136824,Midfielder,Everton,English Premier League
83,226,C. Eriksen,69344,Midfielder,Tottenham,English Premier League
