,League_x,playerId,NewName_x,teamName_x,positionText_x,Apps_x,Sub on_x,Minutes played_x,Rating_x,Goals total_x,Assists total_x,Yellow cards_x,Red cards_x,Shots_x,MOTM_x,Pass success rate_x,Tackles_x,Interceptions_x,Fouls_x,Offsides won_x,Clearances_x,Dribbled_x,Blocks_x,Keypasses_x,Dribbles won_x,Fouls given_x,Offsides given_x,Dispossessed_x,Turnovers_x,Passes_x,Accurate crosses_x,Accurate long passes_x,Accurate through balls_x,Challenges lost_x,Saves (six yard box)_x,Saves (penalty area)_x,Saves (out of the box)_x,Saves total_x,Shots (six yard box)_x,Shots (penalty area)_x,Shots (outside of the box)_x,Shots total_x,Shots open play_x,Shots set piece_x,Shots on target_x,Shots off target_x,Shots on post_x,Shots blocked_x,Shots header_x,Goal (six yard box)_x,Goal (penalty area)_x,Goal (outside of the box)_x,Goals_x,Goal open play_x,Goals set piece_x,Goals head_x,Dribbles lost_x,Dribbles total_x,Aerials lost_x,Aerias total_x,Aerials won_x,Assists_x,Year_x,Apps_y,Sub on_y,Minutes played_y,Rating_y,Goals total_y,Assists total_y,Yellow cards_y,Red cards_y,Shots_y,MOTM_y,Pass success rate_y,Tackles_y,Interceptions_y,Fouls_y,Offsides won_y,Clearances_y,Dribbled_y,Blocks_y,Keypasses_y,Dribbles won_y,Fouls given_y,Offsides given_y,Dispossessed_y,Turnovers_y,Passes_y,Accurate crosses_y,Accurate long passes_y,Accurate through balls_y,Challenges lost_y,Saves (six yard box)_y,Saves (penalty area)_y,Saves (out of the box)_y,Saves total_y,Shots (six yard box)_y,Shots (penalty area)_y,Shots (outside of the box)_y,Shots total_y,Shots open play_y,Shots set piece_y,Shots on target_y,Shots off target_y,Shots on post_y,Shots blocked_y,Shots header_y,Goal (six yard box)_y,Goal (penalty area)_y,Goal (outside of the box)_y,Goals_y,Goal open play_y,Goals set piece_y,Goals head_y,Dribbles lost_y,Dribbles total_y,Aerials lost_y,Aerias total_y,Aerials won_y,Assists_y,Year_y,Apps,Sub on,Minutes played,Rating,Goals total,Assists total,Yellow cards,Red cards,Shots,MOTM,Pass success rate,Tackles,Interceptions,Fouls,Offsides won,Clearances,Dribbled,Blocks,Keypasses,Dribbles won,Fouls given,Offsides given,Dispossessed,Turnovers,Passes,Accurate crosses,Accurate long passes,Accurate through balls,Challenges lost,Saves (six yard box),Saves (penalty area),Saves (out of the box),Saves total,Shots (six yard box),Shots (penalty area),Shots (outside of the box),Shots total,Shots open play,Shots set piece,Shots on target,Shots off target,Shots on post,Shots blocked,Shots header,Goal (six yard box),Goal (penalty area),Goal (outside of the box),Goals,Goal open play,Goals set piece,Goals head,Dribbles lost,Dribbles total,Aerials lost,Aerias total,Aerials won,Assists,Year
1,English Premier League,140088,A. Traoré,Wolverhampton Wanderers,Forward,28,6,2073,7.6125,4,7,0,0,1.214285714,6,73.5915493,1.142857143,0.428571429,1.107142857,0.035714286,0.428571429,0.428571429,0.107142857,1.357142857,5.178571429,2.25,0.142857143,1.571428571,2.321428571,20.28571429,1.107142857,0.214285714,0.107142857,0.428571429,0.0,0.0,0.0,0.0,0.0,0.642857143,0.571428571,1.214285714,0.964285714,0.071428571,0.321428571,0.392857143,0.035714286,0.5,0.0,0.0,0.035714286,0.107142857,0.142857143,0.071428571,0.0,0.0,1.785714286,6.964285714,1.535714286,2.75,1.214285714,0.25,2021,29.0,21.0,896.0,6.592758621,1.0,1.0,1.0,0.0,0.655172414,1.0,72.22222222,0.551724138,0.206896552,0.517241379,0.0,0.206896552,0.172413793,0.0,0.586206897,2.24137931,0.896551724,0.206896552,1.551724138,1.310344828,9.310344828,0.517241379,0.172413793,0.0,0.172413793,0.0,0.0,0.0,0.0,0.0,0.413793103,0.24137931,0.655172414,0.448275862,0.034482759,0.24137931,0.24137931,0.0,0.172413793,0.0,0.0,0.034482759,0.0,0.034482759,0.034482759,0.0,0.0,0.551724138,2.793103448,1.24137931,2.0,0.75862069,0.034482759,2020.0,36.0,8.0,2427.0,7.796111111,5.0,10.0,3.0,2.0,1.472222222,14.0,72.14912281,0.805555556,0.444444444,1.277777778,0.0,0.305555556,0.388888889,0.027777778,1.444444444,7.277777778,2.5,0.083333333,2.472222222,3.111111111,12.66666667,1.305555556,0.361111111,0.111111111,0.388888889,0.0,0.0,0.0,0.0,0.0,0.583333333,0.888888889,1.472222222,1.305555556,0.111111111,0.416666667,0.527777778,0.0,0.527777778,0.027777778,0.0,0.111111111,0.027777778,0.138888889,0.138888889,0.0,0.0,2.055555556,9.333333333,1.555555556,2.583333333,1.027777778,0.277777778,2019.0
1,English Premier League,140088,A. Traoré,Wolverhampton Wanderers,Forward,28,6,2073,7.6125,4,7,0,0,1.214285714,6,73.5915493,1.142857143,0.428571429,1.107142857,0.035714286,0.428571429,0.428571429,0.107142857,1.357142857,5.178571429,2.25,0.142857143,1.571428571,2.321428571,20.28571429,1.107142857,0.214285714,0.107142857,0.428571429,0.0,0.0,0.0,0.0,0.0,0.642857143,0.571428571,1.214285714,0.964285714,0.071428571,0.321428571,0.392857143,0.035714286,0.5,0.0,0.0,0.035714286,0.107142857,0.142857143,0.071428571,0.0,0.0,1.785714286,6.964285714,1.535714286,2.75,1.214285714,0.25,2021,29.0,21.0,896.0,6.592758621,1.0,1.0,1.0,0.0,0.655172414,1.0,72.22222222,0.551724138,0.206896552,0.517241379,0.0,0.206896552,0.172413793,0.0,0.586206897,2.24137931,0.896551724,0.206896552,1.551724138,1.310344828,9.310344828,0.517241379,0.172413793,0.0,0.172413793,0.0,0.0,0.0,0.0,0.0,0.413793103,0.24137931,0.655172414,0.448275862,0.034482759,0.24137931,0.24137931,0.0,0.172413793,0.0,0.0,0.034482759,0.0,0.034482759,0.034482759,0.0,0.0,0.551724138,2.793103448,1.24137931,2.0,0.75862069,0.034482759,2020.0,36.0,8.0,2427.0,7.796111111,5.0,10.0,3.0,2.0,1.472222222,14.0,72.14912281,0.805555556,0.444444444,1.277777778,0.0,0.305555556,0.388888889,0.027777778,1.444444444,7.277777778,2.5,0.083333333,2.472222222,3.111111111,12.66666667,1.305555556,0.361111111,0.111111111,0.411764706,0.0,0.0,0.0,0.0,0.0,0.617647059,0.794117647,1.411764706,1.235294118,0.117647059,0.441176471,0.529411765,0.0,0.441176471,0.029411765,0.0,0.117647059,0.029411765,0.147058824,0.147058824,0.0,0.0,1.764705882,8.911764706,1.558823529,2.558823529,1.0,0.294117647,2019.0
1,English Premier League,140088,A. Traoré,Wolverhampton Wanderers,Forward,28,6,2073,7.6125,4,7,0,0,1.214285714,6,73.5915493,1.142857143,0.428571429,1.107142857,0.035714286,0.428571429,0.428571429,0.107142857,1.357142857,5.178571429,2.25,0.142857143,1.571428571,2.321428571,20.28571429,1.107142857,0.214285714,0.107142857,0.428571429,0.0,0.0,0.0,0.0,0.0,0.642857143,0.571428571,1.214285714,0.964285714,0.071428571,0.321428571,0.392857143,0.035714286,0.5,0.0,0.0,0.035714286,0.107142857,0.142857143,0.071428571,0.0,0.0,1.785714286,6.964285714,1.535714286,2.75,1.214285714,0.25,2021,29.0,21.0,896.0,6.592758621,1.0,1.0,1.0,0.0,0.655172414,1.0,72.22222222,0.551724138,0.206896552,0.517241379,0.0,0.206896552,0.172413793,0.0,0.586206897,2.24137931,0.896551724,0.206896552,1.551724138,1.310344828,9.310344828,0.517241379,0.172413793,0.0,0.172413793,0.0,0.0,0.0,0.0,0.0,0.413793103,0.24137931,0.655172414,0.448275862,0.034482759,0.24137931,0.24137931,0.0,0.172413793,0.0,0.0,0.034482759,0.0,0.034482759,0.034482759,0.0,0.0,0.551724138,2.793103448,1.24137931,2.0,0.75862069,0.034482759,2020.0,34.0,8.0,2247.0,7.794411765,5.0,10.0,3.0,2.0,1.411764706,14.0,72.34042553,0.823529412,0.470588235,1.205882353,0.0,0.294117647,0.411764706,0.0,1.411764706,7.147058824,2.5,0.088235294,2.5,3.0,12.44117647,1.235294118,0.323529412,0.117647059,0.388888889,0.0,0.0,0.0,0.0,0.0,0.583333333,0.888888889,1.472222222,1.305555556,0.111111111,0.416666667,0.527777778,0.0,0.527777778,0.027777778,0.0,0.111111111,0.027777778,0.138888889,0.138888889,0.0,0.0,2.055555556,9.333333333,1.555555556,2.583333333,1.027777778,0.277777778,2019.0
1,English Premier League,140088,A. Traoré,Wolverhampton Wanderers,Forward,28,6,2073,7.6125,4,7,0,0,1.214285714,6,73.5915493,1.142857143,0.428571429,1.107142857,0.035714286,0.428571429,0.428571429,0.107142857,1.357142857,5.178571429,2.25,0.142857143,1.571428571,2.321428571,20.28571429,1.107142857,0.214285714,0.107142857,0.428571429,0.0,0.0,0.0,0.0,0.0,0.642857143,0.571428571,1.214285714,0.964285714,0.071428571,0.321428571,0.392857143,0.035714286,0.5,0.0,0.0,0.035714286,0.107142857,0.142857143,0.071428571,0.0,0.0,1.785714286,6.964285714,1.535714286,2.75,1.214285714,0.25,2021,29.0,21.0,896.0,6.592758621,1.0,1.0,1.0,0.0,0.655172414,1.0,72.22222222,0.551724138,0.206896552,0.517241379,0.0,0.206896552,0.172413793,0.0,0.586206897,2.24137931,0.896551724,0.206896552,1.551724138,1.310344828,9.310344828,0.517241379,0.172413793,0.0,0.172413793,0.0,0.0,0.0,0.0,0.0,0.413793103,0.24137931,0.655172414,0.448275862,0.034482759,0.24137931,0.24137931,0.0,0.172413793,0.0,0.0,0.034482759,0.0,0.034482759,0.034482759,0.0,0.0,0.551724138,2.793103448,1.24137931,2.0,0.75862069,0.034482759,2020.0,34.0,8.0,2247.0,7.794411765,5.0,10.0,3.0,2.0,1.411764706,14.0,72.34042553,0.823529412,0.470588235,1.205882353,0.0,0.294117647,0.411764706,0.0,1.411764706,7.147058824,2.5,0.088235294,2.5,3.0,12.44117647,1.235294118,0.323529412,0.117647059,0.411764706,0.0,0.0,0.0,0.0,0.0,0.617647059,0.794117647,1.411764706,1.235294118,0.117647059,0.441176471,0.529411765,0.0,0.441176471,0.029411765,0.0,0.117647059,0.029411765,0.147058824,0.147058824,0.0,0.0,1.764705882,8.911764706,1.558823529,2.558823529,1.0,0.294117647,2019.0
2,English Premier League,104749,R. Mahrez,Manchester City,Forward,23,8,1386,7.585217391,7,8,0,0,2.260869565,3,89.38271605,0.956521739,0.695652174,0.391304348,0.0,0.304347826,0.956521739,0.0,2.0,1.695652174,0.956521739,0.347826087,1.086956522,1.304347826,35.2173913,0.565217391,1.608695652,0.304347826,0.956521739,0.0,0.0,0.0,0.0,0.086956522,1.347826087,0.826086957,2.260869565,1.782608696,0.347826087,1.0,0.52173913,0.043478261,0.739130435,0.043478261,0.0,0.130434783,0.173913043,0.304347826,0.217391304,0.086956522,0.0,1.217391304,2.913043478,0.739130435,1.130434783,0.391304348,0.347826087,2021,27.0,13.0,1338.0,6.958148148,7.0,4.0,0.0,0.0,2.0,3.0,84.69259724,0.518518519,0.333333333,0.37037037,0.0,0.074074074,0.444444444,0.037037037,0.888888889,0.888888889,0.555555556,0.333333333,1.0,1.037037037,29.51851852,0.592592593,1.407407407,0.222222222,0.444444444,0.0,0.0,0.0,0.0,0.037037037,1.333333333,0.62962963,2.0,1.555555556,0.333333333,0.925925926,0.592592593,0.0,0.481481481,0.037037037,0.0,0.185185185,0.074074074,0.259259259,0.259259259,0.0,0.0,0.592592593,1.481481481,0.851851852,1.555555556,0.703703704,0.148148148,2020.0,36.0,2.0,2961.0,7.284166667,12.0,10.0,2.0,0.0,2.027777778,5.0,79.62382445,1.083333333,0.5,0.638888889,0.027777778,0.25,1.472222222,0.027777778,1.583333333,2.25,1.611111111,0.277777778,1.777777778,2.555555556,35.44444444,0.972222222,3.0,0.194444444,1.472222222,0.0,0.0,0.0,0.0,0.0,1.055555556,0.972222222,2.027777778,1.416666667,0.5,1.0,0.5,0.0,0.527777778,0.055555556,0.0,0.222222222,0.111111111,0.333333333,0.277777778,0.027777778,0.027777778,2.138888889,4.388888889,1.444444444,2.222222222,0.777777778,0.277777778,2019.0
3,English Premier League,120763,R. Pereira,Leicester,Defender,28,0,2520,7.500714286,3,2,1,0,0.642857143,2,78.88040712,4.25,1.75,1.607142857,0.25,2.642857143,1.892857143,0.214285714,0.964285714,2.142857143,1.321428571,0.0,1.107142857,1.571428571,56.14285714,0.321428571,2.107142857,0.071428571,1.892857143,0.0,0.0,0.0,0.0,0.0,0.357142857,0.285714286,0.642857143,0.5,0.142857143,0.178571429,0.357142857,0.0,0.107142857,0.035714286,0.0,0.071428571,0.035714286,0.107142857,0.107142857,0.0,0.0,1.464285714,3.607142857,1.714285714,3.214285714,1.5,0.071428571,2021,35.0,0.0,3125.0,7.339714286,2.0,6.0,7.0,0.0,0.714285714,4.0,78.00261097,3.371428571,1.714285714,1.171428571,0.2,3.028571429,1.657142857,0.171428571,0.942857143,1.942857143,1.371428571,0.057142857,0.971428571,1.485714286,43.77142857,0.428571429,1.228571429,0.028571429,1.657142857,0.0,0.0,0.0,0.0,0.0,0.4,0.314285714,0.714285714,0.571428571,0.114285714,0.257142857,0.171428571,0.0,0.285714286,0.028571429,0.0,0.057142857,0.0,0.057142857,0.0,0.028571429,0.0,1.2,3.142857143,2.142857143,4.028571429,1.885714286,0.171428571,2020.0,27.0,1.0,2271.0,7.589259259,2.0,4.0,3.0,0.0,0.703703704,3.0,80.26208026,3.666666667,1.703703704,1.666666667,0.074074074,1.555555556,0.740740741,0.111111111,1.296296296,1.777777778,0.962962963,0.037037037,0.777777778,1.185185185,45.22222222,0.592592593,2.296296296,0.074074074,0.740740741,0.0,0.0,0.0,0.0,0.0,0.666666667,0.037037037,0.703703704,0.666666667,0.037037037,0.259259259,0.259259259,0.0,0.185185185,0.037037037,0.0,0.074074074,0.0,0.074074074,0.074074074,0.0,0.0,0.925925926,2.703703704,1.0,1.962962963,0.962962963,0.148148148,2019.0
4,English Premier League,109915,S. Mané,Liverpool,Forward,26,2,2085,7.5,14,7,2,0,2.307692308,7,80.98159509,1.384615385,0.423076923,1.461538462,0.038461538,0.269230769,0.730769231,0.0,1.576923077,1.884615385,1.269230769,0.384615385,1.653846154,3.076923077,31.34615385,0.192307692,0.730769231,0.115384615,0.730769231,0.0,0.0,0.0,0.0,0.346153846,1.615384615,0.346153846,2.307692308,1.653846154,0.5,1.115384615,0.961538462,0.076923077,0.230769231,0.653846154,0.153846154,0.346153846,0.038461538,0.538461538,0.423076923,0.038461538,0.076923077,1.192307692,3.076923077,2.269230769,3.461538462,1.192307692,0.269230769,2021,36.0,1.0,3086.0,7.432777778,22.0,1.0,2.0,0.0,2.416666667,6.0,78.19103973,0.972222222,0.416666667,0.944444444,0.055555556,0.222222222,0.805555556,0.111111111,1.25,1.416666667,1.777777778,0.694444444,1.333333333,2.888888889,32.86111111,0.166666667,1.25,0.138888889,0.805555556,0.0,0.0,0.0,0.0,0.305555556,1.722222222,0.388888889,2.416666667,1.944444444,0.305555556,1.166666667,0.944444444,0.111111111,0.305555556,0.611111111,0.055555556,0.555555556,0.0,0.611111111,0.527777778,0.027777778,0.166666667,1.388888889,2.805555556,2.111111111,3.111111111,1.0,0.027777778,2020.0,29.0,1.0,2207.0,7.274827586,10.0,7.0,3.0,1.0,2.413793103,1.0,80.35343035,0.965517241,0.310344828,0.827586207,0.068965517,0.24137931,0.689655172,0.0,1.689655172,1.896551724,1.724137931,0.413793103,1.655172414,2.379310345,33.17241379,0.206896552,0.827586207,0.172413793,0.689655172,0.0,0.0,0.0,0.0,0.137931034,1.793103448,0.482758621,2.413793103,2.034482759,0.24137931,0.896551724,1.068965517,0.103448276,0.448275862,0.344827586,0.068965517,0.275862069,0.0,0.344827586,0.310344828,0.0,0.0,1.068965517,2.965517241,2.103448276,3.034482759,0.931034483,0.24137931,2019.0
5,English Premier League,108226,M. Salah,Liverpool,Forward,26,0,2250,7.450769231,16,6,1,0,3.769230769,5,76.11336032,0.5,0.269230769,0.538461538,0.038461538,0.076923077,0.576923077,0.038461538,1.807692308,1.692307692,0.576923077,0.653846154,2.115384615,2.846153846,28.5,0.307692308,0.269230769,0.076923077,0.576923077,0.0,0.0,0.0,0.0,0.307692308,2.807692308,0.653846154,3.769230769,2.807692308,0.576923077,1.653846154,1.0,0.038461538,1.115384615,0.230769231,0.076923077,0.538461538,0.0,0.615384615,0.384615385,0.0,0.038461538,1.076923077,2.769230769,1.5,2.0,0.5,0.230769231,2021,38.0,1.0,3262.0,7.566052632,22.0,8.0,1.0,0.0,3.605263158,8.0,75.90361446,0.552631579,0.131578947,0.657894737,0.0,0.105263158,0.289473684,0.0,1.789473684,2.105263158,0.842105263,0.710526316,3.131578947,2.868421053,28.39473684,0.421052632,0.552631579,0.289473684,0.289473684,0.0,0.0,0.0,0.0,0.368421053,2.131578947,1.105263158,3.605263158,2.710526316,0.552631579,1.684210526,1.052631579,0.026315789,0.868421053,0.131578947,0.157894737,0.394736842,0.026315789,0.578947368,0.394736842,0.052631579,0.0,1.868421053,3.973684211,1.578947368,1.868421053,0.289473684,0.210526316,2020.0,36.0,2.0,2922.0,7.691111111,32.0,10.0,1.0,0.0,4.0,8.0,76.74418605,0.333333333,0.138888889,0.444444444,0.0,0.083333333,0.555555556,0.0,1.722222222,2.194444444,0.805555556,0.472222222,2.638888889,2.916666667,26.27777778,0.75,0.5,0.111111111,0.555555556,0.0,0.0,0.0,0.0,0.222222222,2.916666667,0.861111111,4.0,3.388888889,0.388888889,1.861111111,1.222222222,0.0,0.916666667,0.222222222,0.111111111,0.694444444,0.083333333,0.888888889,0.777777778,0.0,0.055555556,1.305555556,3.5,0.972222222,1.333333333,0.361111111,0.277777778,2019.0
7,English Premier League,327683,W. Ndidi,Leicester,Midfielder,23,3,1892,7.36173913,2,1,3,0,0.782608696,3,84.07310705,3.956521739,2.652173913,1.47826087,0.0,2.0,1.47826087,0.260869565,0.52173913,0.652173913,0.695652174,0.043478261,0.869565217,0.652173913,49.95652174,0.0,2.652173913,0.0,1.47826087,0.0,0.0,0.0,0.0,0.086956522,0.434782609,0.260869565,0.782608696,0.391304348,0.391304348,0.130434783,0.47826087,0.043478261,0.173913043,0.304347826,0.0,0.086956522,0.0,0.086956522,0.0,0.086956522,0.043478261,0.260869565,0.913043478,2.130434783,4.695652174,2.565217391,0.043478261,2021,38.0,1.0,3299.0,7.213157895,2.0,0.0,8.0,0.0,1.447368421,3.0,79.89924433,3.763157895,2.184210526,1.210526316,0.052631579,2.105263158,1.289473684,0.236842105,0.578947368,0.921052632,0.578947368,0.052631579,0.947368421,1.5,52.23684211,0.0,2.368421053,0.078947368,1.289473684,0.0,0.0,0.0,0.0,0.131578947,0.421052632,0.894736842,1.447368421,0.789473684,0.657894737,0.236842105,0.894736842,0.026315789,0.315789474,0.394736842,0.0,0.026315789,0.026315789,0.052631579,0.052631579,0.0,0.0,0.394736842,1.315789474,2.815789474,6.263157895,3.447368421,0.0,2020.0,33.0,0.0,2899.0,7.135454545,0.0,3.0,6.0,2.0,1.242424242,2.0,76.06888361,4.181818182,1.515151515,1.818181818,0.03030303,2.878787879,2.242424242,0.303030303,0.363636364,1.0,0.787878788,0.03030303,1.303030303,1.151515152,51.03030303,0.03030303,2.393939394,0.060606061,2.242424242,0.0,0.0,0.0,0.0,0.03030303,0.363636364,0.848484848,1.242424242,0.696969697,0.545454545,0.181818182,0.636363636,0.060606061,0.424242424,0.242424242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.303030303,1.303030303,2.272727273,5.818181818,3.545454545,0.090909091,2019.0
8,English Premier League,137015,J. Maddison,Leicester,Midfielder,28,1,2404,7.343571429,6,3,4,0,2.214285714,4,83.04446119,1.892857143,0.321428571,1.178571429,0.0,0.178571429,1.5,0.0,2.678571429,1.642857143,2.892857143,0.142857143,1.0,1.857142857,47.39285714,2.0,2.428571429,0.178571429,1.5,0.0,0.0,0.0,0.0,0.035714286,0.821428571,1.357142857,2.214285714,1.607142857,0.5,0.607142857,0.75,0.035714286,0.857142857,0.071428571,0.0,0.071428571,0.142857143,0.214285714,0.178571429,0.035714286,0.0,1.0,2.642857143,0.821428571,1.071428571,0.25,0.107142857,2021,36.0,1.0,2850.0,7.198611111,7.0,7.0,3.0,1.0,2.305555556,3.0,83.76068376,1.333333333,0.333333333,0.694444444,0.0,0.138888889,1.222222222,0.111111111,2.777777778,1.388888889,2.166666667,0.055555556,1.083333333,1.305555556,39.0,1.861111111,2.194444444,0.25,1.222222222,0.0,0.0,0.0,0.0,0.083333333,0.638888889,1.583333333,2.305555556,1.694444444,0.472222222,0.777777778,0.861111111,0.0,0.666666667,0.027777778,0.0,0.083333333,0.111111111,0.194444444,0.055555556,0.083333333,0.0,0.638888889,2.027777778,0.944444444,1.25,0.305555556,0.194444444,2020.0,44.0,2.0,3643.0,7.433863636,14.0,8.0,7.0,0.0,2.613636364,8.0,86.18889416,1.113636364,0.477272727,0.909090909,0.0,0.318181818,0.818181818,0.0,2.818181818,2.363636364,3.340909091,0.068181818,1.340909091,1.840909091,47.88636364,1.318181818,2.613636364,0.159090909,0.818181818,0.0,0.0,0.0,0.0,0.022727273,0.977272727,1.613636364,2.613636364,1.863636364,0.636363636,0.681818182,0.818181818,0.090909091,1.113636364,0.0,0.0,0.227272727,0.090909091,0.318181818,0.181818182,0.045454545,0.0,1.136363636,3.5,0.977272727,1.25,0.272727273,0.181818182,2019.0
