Tournament,firstName,lastName,Name,SecondName,FirstLastName,Team,Age,Position,Apps,Sub on,Minutes played,Rating,Goals total,Assists total,Yellow cards,Red cards,Shots,MOTM,Full name,Pass success rate,Tackles,Interceptions,Fouls,Offsides won,Clearances,Dribbled,Blocks,Keypasses,Dribbles won,Fouls given,Offsides given,Dispossessed,Turnovers,Passes,Accurate crosses,Accurate long passes,Accurate through balls,Challenges lost,Saves (six yard box),Saves (penalty area),Saves (out of the box),Saves total,Shots (six yard box),Shots (penalty area),Shots (outside of the box),Shots total,Shots open play,Shots set piece,Shots on target,Shots off target,Shots on post,Shots blocked,Shots header,Goal (six yard box),Goal (penalty area),Goal (outside of the box),Goals,Goal open play,Goals set piece,Goals head,Dribbles lost,Dribbles total,Aerials lost,Aerias total,Aerials won,Assists
Premier League,Kevin,De Bruyne,K. De Bruyne,Bruyne,K. Bruyne,Manchester City,28,Midfielder,26,1,2156,7.92,8,16,2,0,2.92,7,Kevin De Bruyne,81.70,1.31,0.46,0.88,0.04,0.77,1.62,0.15,3.69,1.42,0.73,0.04,1.00,1.42,56.54,2.46,3.15,0.35,1.62,0.00,0.00,0.00,0.00,0.04,1.15,1.73,2.92,2.54,0.31,0.88,1.23,0.12,0.81,0.04,0.00,0.19,0.12,0.31,0.27,0.00,0.00,1.08,2.50,0.58,0.96,0.38,0.62
Premier League,Adama,Traoré,A. Traoré,Traoré,A. Traoré,Wolverhampton Wanderers,24,Forward,28,6,2073,7.61,4,7,0,0,1.21,6,Adama Traoré,73.59,1.14,0.43,1.11,0.04,0.43,0.43,0.11,1.36,5.18,2.25,0.14,1.57,2.32,20.29,1.11,0.21,0.11,0.43,0.00,0.00,0.00,0.00,0.00,0.64,0.57,1.21,0.96,0.07,0.32,0.39,0.04,0.50,0.00,0.00,0.04,0.11,0.14,0.07,0.00,0.00,1.79,6.96,1.54,2.75,1.21,0.25
Premier League,Riyad,Mahrez,R. Mahrez,Mahrez,R. Mahrez,Manchester City,29,Forward,23,8,1386,7.59,7,8,0,0,2.26,3,Riyad Mahrez,89.38,0.96,0.70,0.39,0.00,0.30,0.96,0.00,2.00,1.70,0.96,0.35,1.09,1.30,35.22,0.57,1.61,0.30,0.96,0.00,0.00,0.00,0.00,0.09,1.35,0.83,2.26,1.78,0.35,1.00,0.52,0.04,0.74,0.04,0.00,0.13,0.17,0.30,0.22,0.09,0.00,1.22,2.91,0.74,1.13,0.39,0.35
Premier League,Ricardo Domingos,Barbosa Pereira,R. Pereira,Pereira,R. Pereira,Leicester,26,Defender,28,0,2520,7.50,3,2,1,0,0.64,2,Ricardo Pereira,78.88,4.25,1.75,1.61,0.25,2.64,1.89,0.21,0.96,2.14,1.32,0.00,1.11,1.57,56.14,0.32,2.11,0.07,1.89,0.00,0.00,0.00,0.00,0.00,0.36,0.29,0.64,0.50,0.14,0.18,0.36,0.00,0.11,0.04,0.00,0.07,0.04,0.11,0.11,0.00,0.00,1.46,3.61,1.71,3.21,1.50,0.07
Premier League,Sadio,Mané,S. Mané,Mané,S. Mané,Liverpool,28,Forward,26,2,2085,7.50,14,7,2,0,2.31,7,Sadio Mané,80.98,1.38,0.42,1.46,0.04,0.27,0.73,0.00,1.58,1.88,1.27,0.38,1.65,3.08,31.35,0.19,0.73,0.12,0.73,0.00,0.00,0.00,0.00,0.35,1.62,0.35,2.31,1.65,0.50,1.12,0.96,0.08,0.23,0.65,0.15,0.35,0.04,0.54,0.42,0.04,0.08,1.19,3.08,2.27,3.46,1.19,0.27
Premier League,Mohamed,Salah Ghaly,M. Salah,Salah,M. Salah,Liverpool,27,Forward,26,0,2250,7.45,16,6,1,0,3.77,5,Mohamed Salah,76.11,0.50,0.27,0.54,0.04,0.08,0.58,0.04,1.81,1.69,0.58,0.65,2.12,2.85,28.50,0.31,0.27,0.08,0.58,0.00,0.00,0.00,0.00,0.31,2.81,0.65,3.77,2.81,0.58,1.65,1.00,0.04,1.12,0.23,0.08,0.54,0.00,0.62,0.38,0.00,0.04,1.08,2.77,1.50,2.00,0.50,0.23
Premier League,Virgil,van Dijk,V. van Dijk,Dijk,V. Dijk,Liverpool,28,Defender,29,0,2610,7.40,4,1,1,0,0.79,4,Virgil van Dijk,89.18,0.76,1.03,0.34,1.03,4.66,0.21,0.38,0.17,0.07,0.72,0.03,0.07,0.07,85.45,0.00,5.34,0.10,0.21,0.00,0.00,0.00,0.00,0.10,0.59,0.10,0.79,0.10,0.69,0.38,0.28,0.03,0.14,0.55,0.00,0.14,0.00,0.14,0.00,0.14,0.14,0.03,0.10,1.62,6.55,4.93,0.03
Premier League,Onyinye Wilfred,Ndidi,W. Ndidi,Ndidi,W. Ndidi,Leicester,23,Midfielder,23,3,1892,7.36,2,1,3,0,0.78,3,Wilfred Ndidi,84.07,3.96,2.65,1.48,0.00,2.00,1.48,0.26,0.52,0.65,0.70,0.04,0.87,0.65,49.96,0.00,2.65,0.00,1.48,0.00,0.00,0.00,0.00,0.09,0.43,0.26,0.78,0.39,0.39,0.13,0.48,0.04,0.17,0.30,0.00,0.09,0.00,0.09,0.00,0.09,0.04,0.26,0.91,2.13,4.70,2.57,0.04
Premier League,James,Maddison,J. Maddison,Maddison,J. Maddison,Leicester,23,Midfielder,28,1,2404,7.34,6,3,4,0,2.21,4,James Maddison,83.04,1.89,0.32,1.18,0.00,0.18,1.50,0.00,2.68,1.64,2.89,0.14,1.00,1.86,47.39,2.00,2.43,0.18,1.50,0.00,0.00,0.00,0.00,0.04,0.82,1.36,2.21,1.61,0.50,0.61,0.75,0.04,0.86,0.07,0.00,0.07,0.14,0.21,0.18,0.04,0.00,1.00,2.64,0.82,1.07,0.25,0.11
Premier League,Marcus,Rashford,M. Rashford,Rashford,M. Rashford,Manchester United,22,Forward,22,0,1882,7.34,14,4,2,0,3.36,6,Marcus Rashford,76.36,0.55,0.27,0.64,0.00,0.50,0.50,0.00,1.09,2.00,1.32,0.36,1.32,2.00,25.95,0.23,0.82,0.14,0.50,0.00,0.00,0.00,0.00,0.27,1.64,1.45,3.36,1.68,0.77,1.55,1.14,0.23,0.68,0.23,0.09,0.50,0.05,0.64,0.27,0.00,0.05,2.05,4.05,1.77,2.41,0.64,0.18
